itemID,korName,engName,specialRule,nationName
665,가스조절기,Gas regulator,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
666,노리쇠 뭉치,Bolt carrier,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
667,휴대용(차량용)소화기,Portable fire extinguisher,,korea
668,모방총기,Imitation Firearms,,korea
669,소염기,Flash hider,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
670,방아틀뭉치,Trigger assembly,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
671,탄두,warheads,,korea
673,산성스프레이,Acid spray,"최루가스 등 호신용 스프레이류를 위탁수하물로 반입 할 경우, 1인당 1개 (100ml이하)까지만 가능It should be carried as checked baggage must be one small container no more than 100㎖.",korea
672,장전손잡이,Arming handle,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
675,탄피,bullet casings,,korea
678,골프채 헤드,golf club heads,,korea
681,토마토,Tomato,"* 국제선 이용 시 참고사항 : 대부분 해외 국가의 식물검역기관에서 병해충 문제로 자국 반입을 금지하고 있음. 먹다 남은 과일도 도착지 국가 반입 시에 폐기, 반송, 과태료 등 불이익이 따를 수 있어 도착 전 항공기에서 모두 섭취 또는 폐기 바람* Notice for using international line : Above items are prohibited from bringing in the most of arrival countries by their plant quarantine authority due to disease and insect pest. These items including leftover fruits can be disposed or returned when bringing in the arrival country, and also fine can be charged for it, so it is desirable for you to eat or dispose these items in the flight before the arrival.",korea
684,복숭아,Peach,"* 국제선 이용 시 참고사항 : 대부분 해외 국가의 식물검역기관에서 병해충 문제로 자국 반입을 금지하고 있음. 먹다 남은 과일도 도착지 국가 반입 시에 폐기, 반송, 과태료 등 불이익이 따를 수 있어 도착 전 항공기에서 모두 섭취 또는 폐기 바람* Notice for using international line : Above items are prohibited from bringing in the most of arrival countries by their plant quarantine authority due to disease and insect pest. These items including leftover fruits can be disposed or returned when bringing in the arrival country, and also fine can be charged for it, so it is desirable for you to eat or dispose these items in the flight before the arrival.",korea
687,의료용 수은체온계,Medical mercury-thermometer,"단, 소형 의료용 수은체온계로 보호케이스 안에 들어 있어야 하며 1인당 1개 위탁수하물만 반입 가능A small medical mercury-thermometer(no more than one per person) which must be is in its protective case",korea
690,축구공,"Soccer ball, Football","단, 공기가 1/3이상 주입된 공은 객실, 위탁수하물 반입 불가A ball filled air more than 1/3 of the total volume is not allowed in carry-on and checked baggage.",korea
693,의료용 산소통,Medical oxygen cylinder,"단, 개당 총량 5kg 이하, 의료용인 경우에 한해 항공사 승인 후 객실 및 위탁수하물 반입 가능함Only medical use(each cylinder not excceding 5kg) and the approval of air transport operators are required.",korea
696,해열파스,Patch for fever,"[국내선] 객실, 위탁수하물 반입 가능                                   [국제선] 위탁수하물 반입 시 국내선 규정과 동일, 객실 반입시 항공보안법 제14조제5항에 의거 액체·겔·분무류 통제 적용물품이나, 시판약품 또는 의사처방전이 있는 처방 약품의 경우 비행여정에 적합한 용량은 투명비닐지퍼백이 없더라도 객실 허용 가능                                                      * 액체·겔·분무류 통제 : 객실 반입(국제선에 한함)할 경우 개별 용기당 100ml 이하로 1인당 1L 투명비닐지퍼백 1개에 한해 반입 가능, 의약품인 경우 의사 처방전 등 관련 증명서를 보안검색요원에게 제시하고 적정하다고 판단될 경우 비행중 필요한 용량에 한해 객실 반입 가능[Domestic flgihts] Items are allowed as carry-on or checked baggage.[International flights] The same restrictions as domestic flights apply for checked baggage. For controlled LAGs restrictions but comercially available medicines or prescription medicines with doctor's letters the amount needed by the passenger during the flight may be allowed as carry-on baggage without 1 quart size clear plastic zip top bag.* LAGs restrictions : International bound passenger, you may carry LAGs in your carry-on bags only if they please place 3.4oz(100m,g) bottles or less (by volume), 1 quart size clear plastic zip top bag. For controlled LAGs but comercially available medicine the amount needed by the passenger during the flight may be allowed as carry-on or checked baggage without a zip-lock bag.",korea
699,홍차(액상 홍차),Black tea(liquid type),"[국내선] 객실, 위탁수하물 반입 가능[국제선] 위탁수하물 반입 시 국내선 규정과 동일, 객실 반입시 항공보안법 제14조제5항에 의거 액체·겔·분무류 통제 적용* 액체·겔·분무류 통제 : 객실 반입(국제선에 한함)할 경우 개별 용기당 100ml 이하로 1인당 1L 투명비닐지퍼백 1개에 한해 반입 가능[Domestic flights] Items are allowed as carry-on or checked baggage.[International flights] The same restrictions as domestic flights apply for checked baggage but the above item is carried hand baggage should comply with LAGs restrictions in accordance with Article 14, Section 5 of Aviation Secuiryt Act.* LAGs restrictions : International bound passenger, you may carry LAGs in your carry-on bags only if they please place 3.4oz(100m,g) bottles or less (by volume), 1 quart size clear plastic zip top bag.",korea
703,총열덮개,Handguard,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
706,재봉바늘,Sewing machine needle,,korea
708,냄새제거제(스프레이 타입),Deodorant spray,"[국내선] 개별 용기당 500ml(0.5kg)이하로 1인당 2L(2kg) 이하까지만 객실 및 위탁수하물 반입 가능 [국제선] 위탁수하물 반입시 국내선 규정과 동일, 객실 반입시 항공보안법 제14조제5항에 의거 액체·겔·분무류 통제 적용                     * 액체·겔·분무류 통제 : 객실 반입(국제선에 한함)할 경우 개별 용기당 100ml 이하로 1인당 1L 투명비닐지퍼백 1개에 한해 반입 가능[Domestic flights] Items not exceeding 500ml(0.5kg) per person and up to 2L(2kg) are allowed as carry-on or checked baggage.[International flights] The same restrictions as domestic flights apply for checked baggage but the above item is carried hand baggage should comply with LAGs restrictions in accordance with Article 14, Section 5 of Aviation Secuiryt Act.* LAGs(Liquids, Aerosols and Gels) Restrictions : International bound passenger, you may carry LAGs in your carry-on bags only if they please place 3.4oz(100m,g) bottles or less (by volume), 1 quart size clear plastic zip top bag.",korea
751,전자장비에 장착된 리튬이온배터리(100Wh초과~160Wh이하),Electronic devices containing lithium ion(100Wh~160Wh),"단, 항공사의 승인 필요* Wh(전력) = Ah(전류) x V(전압)** 1mAh = 1/1000AhThe approval of air transport operators are required.* Wh = Ah x V** 1mAh = 1/1000Ah",korea
754,견과류 망치,nutcracker,,korea
759,스패너(총길이 10cm 초과),Spanner(longer than 10cm),,korea
674,그라인더날(마모용),Grinder blades (for wear and tear),,korea
677,부메랑,Boomerang,"단, 날이 날카롭지 않고 부러지기 쉬운 재질(플라스틱, 나무 등)의 위험성이 낮은 오락(레저)용의 경우 객실 반입 가능If the blade is not sharp and is made of a brittle material(plastic, wood, etc.), so the risk is low, and if it is for recreational use, it can be brought into the cabin.",korea
680,투석기,Catapult,,korea
683,화학물질을 담은 용기(분사기 등),containers with chemicals(spray gun),"최루가스 등 호신용 스프레이류를 위탁수하물로 반입 할 경우, 1인당 1개(100ml 이하)까지만 가능It should be carried as checked baggage must be one small container no more than 100㎖.* Regulations vary from country to coutry to country.",korea
686,대형 곽성냥,Large packet of matches,,korea
689,이유식,Baby food,"[국내선] 객실, 위탁수하물 반입 가능                           [국제선] 위탁수하물 반입 시 국내선 규정과 동일, 객실 반입시 항공보안법 제14조제5항에 의거 액체·겔·분무류 통제 적용물품이나 유아를 동반할 경우 유아용 우유, 물, 주스, 모유, 액체·겔·죽 형태의 음식은 100ml 이상이라도 비행여정에 적합한 용량은 허용됨                                                                   * 액체·겔·분무류 통제 : 객실 반입(국제선에 한함)할 경우 개별 용기당 100ml 이하로 1인당 1L 투명비닐지퍼백 1개에 한해 반입 가능[Domestic flights] Items are allowed as carry-on or checked baggage.[International flights] The same restrictions as domestic flights apply for checked baggage but the above item is carried hand baggage should comply with LAGs restrictions in accordance with Article 14, Section 5 of Aviation Secuiryt Act. When travelling with a baby you are allowed baby formula and food are allowed in excess 100ml in resanable quantities.* LAGs restrictions : International bound passenger, you may carry LAGs in your carry-on bags only if they please place 3.4oz(100m,g) bottles or less (by volume), 1 quart size clear plastic zip top bag.",korea
692,골프공,Golf ball,,korea
695,김,Laver,,korea
698,액기스,Extract,"[국내선] 객실, 위탁수하물 반입 가능                          [국제선] 위탁수하물 반입시 국내선 규정과 동일, 객실 반입시 항공보안법 제14조제5항에 의거 액체·겔·분무류 통제 적용                                                                  * 액체·겔·분무류 통제 : 객실 반입(국제선에 한함)할 경우 개별 용기당 100ml 이하로 1인당 1L 투명비닐지퍼백 1개에 한해 반입 가능[Domestic flights] Items are allowed as carry-on or checked baggage.[International flights] The same restrictions as domestic flights apply for checked baggage but the above item is carried hand baggage should comply with LAGs restrictions in accordance with Article 14, Section 5 of Aviation Secuiryt Act.* LAGs restrictions : International bound passenger, you may carry LAGs in your carry-on bags only if they please place 3.4oz(100m,g) bottles or less (by volume), 1 quart size clear plastic zip top bag.",korea
701,개머리판,A butt plate of a rifle,"단, 위탁수하물로 반입할 경우, 해당 항공사에게 총기소지허가서 또는 수출입허가서 등 관련서류를 확인시키고, 총알과 분리한 후, 단단한 보관함에 넣은 경우에만 가능It should be carried as checked baggage must be unloaded, packed in a locked hard-sided container, and declared to the airline at check-in.",korea
