itemID,forbidRule
694,특별조항
695,기내휴대 O
695,위탁수하물 O
696,특별조항
697,특별조항
702,기내휴대 O
698,특별조항
703,위탁수하물 O
702,위탁수하물 O
700,특별조항
704,특별조항
699,특별조항
703,기내휴대 X
705,특별조항
701,기내휴대 X
701,위탁수하물 O
708,특별조항
707,특별조항
710,위탁수하물 O
710,기내휴대 O
709,특별조항
714,특별조항
712,특별조항
713,특별조항
834,위탁수하물 X
837,특별조항
834,기내휴대 O
836,위탁수하물 O
836,기내휴대 O
833,기내휴대 X
835,기내휴대 X
838,기내휴대 O
833,항공사 승인
833,위탁수하물 O
838,위탁수하물 O
849,기내휴대 X
854,기내휴대 O
861,특별조항
851,특별조항
854,위탁수하물 O
850,기내휴대 X
855,기내휴대 X
849,위탁수하물 O
852,특별조항
835,위탁수하물 O
850,위탁수하물 O
862,기내휴대 X
853,특별조항
846,특별조항
858,특별조항
847,기내휴대 O
848,기내휴대 O
856,특별조항
867,특별조항
864,위탁수하물 O
847,위탁수하물 O
864,기내휴대 X
855,위탁수하물 O
871,위탁수하물 O
5462,기내휴대 O
5475,위탁수하물 O
5430,특별조항
5426,위탁수하물 O
5469,위탁수하물 O
870,기내휴대 X
862,위탁수하물 X
863,기내휴대 O
857,위탁수하물 X
841,위탁수하물 O
940,위탁수하물 O
940,기내휴대 O
977,위탁수하물 O
983,기내휴대 X
1002,특별조항
667,위탁수하물 X
679,기내휴대 O
680,위탁수하물 O
735,기내휴대 O
760,기내휴대 O
740,위탁수하물 X
692,위탁수하물 O
751,기내휴대 O
773,위탁수하물 O
693,항공사 승인
908,위탁수하물 O
931,위탁수하물 X
761,기내휴대 X
671,기내휴대 O
1019,기내휴대 X
787,기내휴대 X
792,위탁수하물 O
924,위탁수하물 O
1011,기내휴대 X
796,기내휴대 X
903,기내휴대 X
892,항공사 승인
797,위탁수하물 O
946,기내휴대 O
6789,기내휴대 X
6828,위탁수하물 O
6746,위탁수하물 O
6735,기내휴대 O
6634,기내휴대 O
6809,위탁수하물 O
6849,기내휴대 O
6859,특별조항
6869,위탁수하물 O
6858,기내휴대 X
6716,위탁수하물 O
6848,기내휴대 O
6834,기내휴대 O
6786,위탁수하물 O
6805,위탁수하물 O
6823,위탁수하물 X
6685,위탁수하물 O
6894,기내휴대 O
6887,위탁수하물 O
870,위탁수하물 O
843,기내휴대 X
869,기내휴대 X
874,기내휴대 X
884,위탁수하물 O
975,위탁수하물 O
980,위탁수하물 X
983,위탁수하물 X
969,위탁수하물 O
981,기내휴대 X
996,기내휴대 X
1004,위탁수하물 O
669,기내휴대 X
676,기내휴대 O
693,위탁수하물 O
681,위탁수하물 O
731,기내휴대 O
684,위탁수하물 O
729,항공사 승인
726,기내휴대 O
693,기내휴대 O
741,기내휴대 X
758,특별조항
734,기내휴대 O
777,기내휴대 X
740,기내휴대 X
769,기내휴대 X
932,특별조항
1020,기내휴대 X
1015,특별조항
787,위탁수하물 X
951,위탁수하물 O
828,위탁수하물 O
883,기내휴대 O
907,기내휴대 X
1022,기내휴대 X
1014,특별조항
897,기내휴대 X
900,위탁수하물 O
923,위탁수하물 X
1009,위탁수하물 O
6819,위탁수하물 O
6767,기내휴대 O
6757,위탁수하물 O
6735,위탁수하물 O
6643,위탁수하물 O
6791,기내휴대 O
6846,기내휴대 O
6799,기내휴대 X
6792,위탁수하물 O
6781,위탁수하물 O
6887,기내휴대 X
6805,기내휴대 O
6841,기내휴대 O
6874,기내휴대 X
6856,위탁수하물 O
6882,위탁수하물 O
866,특별조항
845,위탁수하물 O
868,특별조항
880,기내휴대 X
878,기내휴대 O
956,위탁수하물 O
974,특별조항
979,기내휴대 O
984,특별조항
997,위탁수하물 X
677,기내휴대 X
670,기내휴대 X
687,위탁수하물 O
691,기내휴대 O
722,위탁수하물 O
690,기내휴대 O
711,특별조항
745,위탁수하물 X
799,위탁수하물 O
785,기내휴대 X
813,위탁수하물 O
933,기내휴대 O
752,기내휴대 O
1006,위탁수하물 X
816,기내휴대 X
778,기내휴대 O
801,위탁수하물 O
934,위탁수하물 O
933,위탁수하물 O
895,특별조항
821,기내휴대 X
884,기내휴대 X
807,위탁수하물 O
809,특별조항
917,위탁수하물 O
1025,특별조항
821,위탁수하물 O
825,기내휴대 O
811,기내휴대 X
939,기내휴대 O
942,기내휴대 X
960,위탁수하물 X
909,특별조항
927,특별조항
931,기내휴대 O
6817,기내휴대 O
6813,기내휴대 O
6880,위탁수하물 O
6853,위탁수하물 O
6886,기내휴대 X
6787,위탁수하물 O
6804,기내휴대 O
6801,위탁수하물 O
6834,위탁수하물 O
6839,특별조항
6727,기내휴대 X
6858,특별조항
6867,기내휴대 O
848,위탁수하물 O
875,위탁수하물 O
863,위탁수하물 O
841,기내휴대 X
961,위탁수하물 X
972,위탁수하물 X
973,기내휴대 X
980,기내휴대 X
973,위탁수하물 X
986,기내휴대 X
987,위탁수하물 X
993,위탁수하물 O
665,위탁수하물 O
718,특별조항
738,위탁수하물 O
747,위탁수하물 O
692,기내휴대 O
741,위탁수하물 O
751,위탁수하물 O
756,기내휴대 X
736,위탁수하물 O
774,위탁수하물 O
727,항공사 승인
780,기내휴대 O
770,위탁수하물 O
915,기내휴대 X
923,기내휴대 O
942,위탁수하물 X
1023,특별조항
790,기내휴대 X
804,기내휴대 O
898,위탁수하물 O
935,기내휴대 O
954,위탁수하물 O
772,특별조항
1005,특별조항
952,위탁수하물 X
946,위탁수하물 O
921,기내휴대 O
1022,위탁수하물 O
6895,위탁수하물 O
6886,위탁수하물 O
6783,위탁수하물 O
6854,기내휴대 X
6777,기내휴대 O
6821,기내휴대 O
6823,기내휴대 X
